queen sago,cycas,circinalis
remiang,cycas,revoluta
ola,cyclophyllum,barbatum
quince,cydonia,oblonga
oreganillo falso,cynometra,portoricensis
gulos,cynometra,ramiflora
eeme,cynometra,yokotae
aapwo,cynometra,yokotae
tree-tomato,cyphomandra,betacea
swamp titi,cyrilla,racemiflora
forest cyrtandra,cyrtandra,giffardii
cyrtandra,cyrtandra,ramosissima
candletree,dacryodes,excelsa
indian rosewood,dalbergia,sissoo
burn nose,daphnopsis,americana
heller's cieneguillo,daphnopsis,helleriana
emajagua de sierra,daphnopsis,philippiana
hawaii delissea,delissea,fallax
cutleaf delissea,delissea,laciniata
niihau delissea,delissea,niihauensis
smallflower delissea,delissea,parviflora
delissea,delissea,spp.
leechleaf delissea,delissea,undulata
royal poinciana,delonix,regia
salato,dendrocnide,harveyi
kahtat,dendrocnide,latifolia
angelica tree,dendropanax,arboreus
palo de vaca,dendropanax,laurifolius
redpalm,dictyosperma,album
chulta,dillenia,indica
shrubby dillenia,dillenia,suffruticosa
dimocarpus longan,dimocarpus,longan
anume,diospyros,elliptica
diospyros ferrea,diospyros,ferrea
elama,diospyros,hillebrandii
persimmon,diospyros,kaki
black apple,diospyros,revoluta
auauli,diospyros,samoensis
lama,diospyros,sandwicensis
chinese persimmon,diospyros,sintenisii
texas persimmon,diospyros,texana
common persimmon,diospyros,virginiana
otot,discocalyx,ponapensis
jaboncillo,ditta,myricoides
florida hopbush,dodonaea,viscosa
rru,dolichandrone,spathacea
ceylon gooseberry,dovyalis,hebecarpa
fragrant dracaena,dracaena,fragrans
dracaena multiflora,dracaena,multiflora
song of india,dracaena,reflexa
cafeillo,drypetes,alba
drypetes carolinensis,drypetes,carolinensis
drypetes dolichocarpa,drypetes,dolichocarpa
varital,drypetes,glauca
rosewood,drypetes,ilicifolia
guiana plum,drypetes,lateriflora
kevert,drypetes,nitida
drypetes yapensis,drypetes,yapensis
mauna kea dubautia,dubautia,arborea
forest dubautia,dubautia,knudsenii
kauai dubautia,dubautia,microcephala
plantainleaf dubautia,dubautia,plantaginea
netvein dubautia,dubautia,reticulata
golden dewdrops,duranta,erecta
durian,durio,zibethinus
areca palm,dypsis,lutescens
maota mea,dysoxylum,huntii
maota,dysoxylum,maota
dysoxylum mollissimum ssp. molle,dysoxylum,mollissimum
mamala,dysoxylum,samoense
blackbead ebony,ebenopsis,ebano
anacua knockaway,ehretia,anacua
russian-olive,elaeagnus,angustifolia
oil nut palm,elaeis,guineensis
kalia,elaeocarpus,bifidus
syatak,elaeocarpus,carolinensis
`a`mati`e,elaeocarpus,floridanus
elaeocarpus graeffei,elaeocarpus,graeffei
sapatua,elaeocarpus,grandis
joga,elaeocarpus,joga
elaeocarpus kerstingianus,elaeocarpus,kerstingianus
kosrae elaeocarpus,elaeocarpus,kusaiensis
maratte,elaeocarpus,kusanoi
opop,elaeocarpus,kusanoi
aamatie,elaeocarpus,tonganus
elaeocarpus,elaeocarpus,ulianus
elaeocarpa,endiandra,elaeocarpa
monkeysoap,enterolobium,cyclocarpum
bronze loquat,eriobotrya,deflexa
loquat,eriobotrya,japonica
blacktorch,erithalis,fruticosa
machete,erythrina,berteriana
coral erythrina,erythrina,corallodendron
naked coral tree,erythrina,coralloides
crybabytree,erythrina,crista-galli
cock's spur,erythrina,eggersii
bucayo,erythrina,fusca
mountain immortelle,erythrina,poeppigiana
wili wili,erythrina,sandwicensis
gatae palagi,erythrina,subumbrans
tiger's claw,erythrina,variegata
acuminatissimum,erythrospermum,acuminatissimum
swamp-redwood,erythroxylum,areolatum
ratwood,erythroxylum,rotundifolium
rufous false cocaine,erythroxylum,rufum
urban's false cocaine,erythroxylum,urbanii
southern mahogany,eucalyptus,botryoides
applebox,eucalyptus,bridgesiana
river redgum,eucalyptus,camaldulensis
argyle apple,eucalyptus,cinerea
sugargum,eucalyptus,cladocalyx
silver-dollar eucalyptus,eucalyptus,cordata
yate,eucalyptus,cornuta
narrowleaf red ironbark,eucalyptus,crebra
roundleaf gum,eucalyptus,deanei
indonesian gum,eucalyptus,deglupta
tasmanian bluegum,eucalyptus,globulus
tuart,eucalyptus,gomphocephala
mountain graygum,eucalyptus,goniocalyx
grand eucalyptus,eucalyptus,grandis
white box,eucalyptus,hemiphloia
white ironbark,eucalyptus,leucoxylon
spotted gum,eucalyptus,maculata
jarrah,eucalyptus,marginata
australian tallowwood,eucalyptus,microcorys
gray ironbark,eucalyptus,paniculata
blackbutt,eucalyptus,pilularis
redbox,eucalyptus,polyanthemos
black ironbox,eucalyptus,raveretiana
redmahogany,eucalyptus,resinifera
swampmahogany,eucalyptus,robusta
western australian floodedgum,eucalyptus,rudis
black peppermint,eucalyptus,salicifolia
sydney bluegum,eucalyptus,saligna
red ironbark,eucalyptus,sideroxylon
eucalyptus spp.,eucalyptus,spp.
forest redgum,eucalyptus,tereticornis
manna gum,eucalyptus,viminalis
white stopper,eugenia,axillaris
blackrodwood,eugenia,biflora
sierra de cayey stopper,eugenia,boqueronensis
guayabota de sierra,eugenia,borinquensis
cloves,eugenia,caryophyllus
redberry stopper,eugenia,confusa
lathberry,eugenia,cordata
sperry guava,eugenia,corozalensis
serrette guave,eugenia,domingensis
guasabara,eugenia,eggersii
smooth rodwood,eugenia,glabrata
luquillo mountain stopper,eugenia,haematocarpa
nioi,eugenia,koolauensis
privet stopper,eugenia,ligustrina
birdcherry,eugenia,monticola
